DATE,VALUE
1971-01-08,0.59800
1971-01-15,0.63000
1971-01-22,0.66700
1971-01-29,0.70700
1971-02-05,0.75000
1971-02-12,0.79300
1971-02-19,0.83600
1971-02-26,0.87800
1971-03-05,0.92100
1971-03-12,0.96700
1971-03-19,1.01900
1971-03-26,1.07800
1971-04-02,1.14400
1971-04-09,1.21700
1971-04-16,1.29100
1971-04-23,1.36100
1971-04-30,1.41900
1971-05-07,1.45800
1971-05-14,1.46900
1971-05-21,1.44800
1971-05-28,1.39600
1971-06-04,1.31600
1971-06-11,1.21800
1971-06-18,1.11700
1971-06-25,1.03000
1971-07-02,0.97200
1971-07-09,0.96000
1971-07-16,1.00300
1971-07-23,1.10300
1971-07-30,1.25500
1971-08-06,1.44500
1971-08-13,1.65300
1971-08-20,1.85600
1971-08-27,2.02900
1971-09-03,2.15800
1971-09-10,2.22700
1971-09-17,2.23700
1971-09-24,2.19000
1971-10-01,2.09800
1971-10-08,1.97400
1971-10-15,1.83500
1971-10-22,1.69800
1971-10-29,1.57700
1971-11-05,1.48200
1971-11-12,1.41500
1971-11-19,1.37700
1971-11-26,1.36100
1971-12-03,1.35800
1971-12-10,1.36100
1971-12-17,1.35800
1971-12-24,1.34200
1971-12-31,1.31000
1972-01-07,1.25200
1972-01-14,1.17700
1972-01-21,1.08600
1972-01-28,0.98500
1972-02-04,0.88300
1972-02-11,0.78300
1972-02-18,0.69000
1972-02-25,0.60700
1972-03-03,0.53500
1972-03-10,0.47500
1972-03-17,0.42300
1972-03-24,0.37800
1972-03-31,0.33500
1972-04-07,0.29100
1972-04-14,0.24500
1972-04-21,0.19600
1972-04-28,0.14800
1972-05-05,0.10400
1972-05-12,0.06700
1972-05-19,0.04100
1972-05-26,0.03100
1972-06-02,0.03800
1972-06-09,0.06400
1972-06-16,0.10500
1972-06-23,0.15700
1972-06-30,0.21200
1972-07-07,0.26400
1972-07-14,0.30500
1972-07-21,0.32900
1972-07-28,0.33200
1972-08-04,0.31400
1972-08-11,0.27500
1972-08-18,0.22100
1972-08-25,0.15600
1972-09-01,0.08800
1972-09-08,0.02300
1972-09-15,-0.03300
1972-09-22,-0.07800
1972-09-29,-0.11200
1972-10-06,-0.13600
1972-10-13,-0.15300
1972-10-20,-0.16700
1972-10-27,-0.18000
1972-11-03,-0.19500
1972-11-10,-0.21300
1972-11-17,-0.23300
1972-11-24,-0.25400
1972-12-01,-0.27100
1972-12-08,-0.28100
1972-12-15,-0.27800
1972-12-22,-0.25600
1972-12-29,-0.21000
1973-01-05,-0.13700
1973-01-12,-0.03400
1973-01-19,0.09500
1973-01-26,0.24600
1973-02-02,0.41400
1973-02-09,0.58800
1973-02-16,0.75700
1973-02-23,0.91200
1973-03-02,1.04300
1973-03-09,1.14600
1973-03-16,1.21700
1973-03-23,1.25900
1973-03-30,1.27700
1973-04-06,1.27400
1973-04-13,1.25800
1973-04-20,1.23300
1973-04-27,1.20500
1973-05-04,1.17700
1973-05-11,1.15300
1973-05-18,1.13400
1973-05-25,1.12300
1973-06-01,1.12300
1973-06-08,1.13800
1973-06-15,1.16800
1973-06-22,1.21700
1973-06-29,1.28600
1973-07-06,1.37400
1973-07-13,1.48100
1973-07-20,1.60200
1973-07-27,1.73100
1973-08-03,1.86300
1973-08-10,1.99200
1973-08-17,2.11300
1973-08-24,2.21900
1973-08-31,2.30700
