DATE,VALUE
2000-01-03,1.52
2000-01-05,5.125
2000-01-10,0.75
2000-01-13,1.745
2000-01-18,2.07
2000-01-20,0.66
2000-01-24,4.52
2000-01-27,0.63
2000-01-28,1.09
2000-01-31,1.575
2000-02-01,0.3
2000-02-02,0.5
2000-02-03,2.03
2000-02-04,0.825
2000-02-09,4.355
2000-02-10,3.48
2000-02-15,4.95
2000-02-16,1.945
2000-02-24,6.455
2000-02-29,1.205
2000-03-01,1.78
2000-03-06,1.415
2000-03-07,0.795
2000-03-08,5.1
2000-03-09,4.17
2000-03-13,3.31
2000-03-15,3.615
2000-03-20,3.15
2000-03-21,0.615
2000-03-22,1.075
2000-03-23,2.69
2000-03-24,1.515
2000-03-28,0.07
2000-03-31,3.46
2000-04-03,3.33
2000-04-05,2.49
2000-04-06,1.165
2000-04-10,6.005
2000-04-11,5.8
2000-04-12,4.885
2000-04-17,6.285
2000-04-19,3.455
2000-04-21,0.91
2000-04-26,5.85
2000-04-28,2.26
2000-05-01,1.2
2000-05-02,0.565
2000-05-03,5.59
2000-05-04,0.0
2000-05-09,3.99
2000-05-11,1.775
2000-05-15,5.425
2000-05-16,1.33
2000-05-17,0.65
2000-05-26,1.33
2000-05-30,3.435
2000-05-31,2.265
2000-06-01,1.225
2000-06-02,1.0
2000-06-08,2.435
2000-06-14,1.75
2000-06-15,2.55
2000-06-21,4.07
2000-06-22,2.445
2000-06-27,2.31
2000-06-28,1.97
2000-06-30,1.1
2000-07-03,0.0
2000-07-05,6.68
2000-07-06,2.84
2000-07-07,2.505
2000-07-10,3.690
2000-07-11,1.675
2000-07-12,3.205
2000-07-13,4.000
2000-07-17,2.000
2000-07-20,0.615
2000-07-24,2.500
2000-07-25,2.000
2000-07-26,2.905
2000-07-27,3.745
2000-07-28,1.730
2000-07-31,1.500
2000-08-01,0.870
2000-08-09,1.760
2000-08-15,4.695
2000-08-17,1.150
2000-08-23,1.470
2000-08-31,1.215
2000-09-01,2.755
2000-09-05,5.655
2000-09-06,4.660
2000-09-07,4.230
2000-09-11,2.995
2000-09-13,1.995
2000-09-15,1.895
2000-09-20,3.760
2000-09-21,1.410
2000-09-22,0.570
2000-09-25,0.415
2000-09-27,0.125
2000-09-29,1.250
2000-10-02,0.285
2000-10-04,0.325
2000-10-05,0.765
2000-10-10,2.790
2000-10-11,1.570
2000-10-12,3.575
2000-10-13,1.625
2000-10-18,2.510
2000-10-19,3.295
2000-10-20,1.500
2000-10-23,2.960
2000-10-26,3.485
2000-10-30,1.335
2000-11-01,5.500
2000-11-02,4.800
2000-11-03,1.650
2000-11-09,1.920
2000-11-10,1.880
2000-11-13,2.615
2000-11-15,0.930
2000-11-16,4.720
2000-11-17,0.735
2000-11-21,1.480
2000-11-22,1.570
2000-11-24,2.220
2000-11-27,1.125
2000-11-29,2.045
2000-11-30,5.415
2000-12-01,4.000
2000-12-05,1.850
2000-12-06,1.500
2000-12-07,1.500
2000-12-11,3.500
2000-12-13,5.050
2000-12-15,3.170
2000-12-18,5.400
2000-12-19,1.505
2000-12-20,3.750
2000-12-27,0.380
2000-12-28,0.000
2001-01-05,3.790
2001-01-08,4.070
2001-01-09,2.665
2001-01-10,3.500
2001-01-11,0.055
2001-01-16,2.545
2001-01-17,0.300
2001-01-18,2.970
2001-01-24,5.630
2001-01-25,4.585
2001-01-29,4.155
2001-01-30,4.525
2001-01-31,1.000
2001-02-01,3.650
2001-02-05,3.625
2001-02-08,1.050
2001-02-15,3.650
2001-02-28,1.250
2001-03-02,1.245
2001-03-05,3.505
2001-03-06,0.795
2001-03-07,2.950
2001-03-08,5.120
2001-03-09,3.745
2001-03-21,4.755
2001-03-22,0.015
2001-03-29,3.290
2001-03-30,2.630
2001-04-02,6.900
2001-04-03,5.500
2001-04-04,6.000
2001-04-05,3.500
2001-04-16,7.335
2001-04-18,3.650
2001-04-19,2.700
2001-04-26,0.000
2001-04-30,2.450
2001-05-02,1.470
2001-05-03,3.500
2001-05-09,2.940
2001-05-10,3.500
2001-05-15,2.605
